Action,Timestamp
INSERT libraries,2023-06-04 23:22:48
SELECT libraries,2023-06-04 23:25:04
INSERT libraries,2023-06-04 23:25:12
SELECT libraries,2023-06-04 23:25:12
SELECT libraries,2023-06-04 23:25:15
SELECT libraries,2023-06-04 23:26:15
SELECT libraries,2023-06-04 23:26:17
DELETE collect,2023-06-04 23:26:19
DELETE borrows,2023-06-04 23:26:19
DELETE librarians,2023-06-04 23:26:19
DELETE sign_up,2023-06-04 23:26:19
SELECT libraries,2023-06-04 23:26:19
DELETE libraries,2023-06-04 23:26:19
SELECT libraries,2023-06-04 23:26:19
INSERT libraries,2023-06-04 23:26:56
SELECT libraries,2023-06-04 23:26:56
SELECT libraries,2023-06-04 23:26:57
SELECT libraries,2023-06-04 23:26:57
SELECT libraries,2023-06-04 23:27:04
INSERT sign_up,2023-06-04 23:27:18
SELECT libraries,2023-06-04 23:29:05
SELECT libraries,2023-06-04 23:29:07
SELECT books,2023-06-04 23:29:13
SELECT books,2023-06-04 23:29:21
SELECT libraries,2023-06-04 23:29:39
SELECT libraries,2023-06-04 23:29:40
SELECT libraries,2023-06-04 23:29:40
SELECT libraries,2023-06-04 23:29:45
DELETE collect,2023-06-04 23:29:48
DELETE borrows,2023-06-04 23:29:48
DELETE librarians,2023-06-04 23:29:48
DELETE sign_up,2023-06-04 23:29:48
SELECT libraries,2023-06-04 23:29:48
DELETE libraries,2023-06-04 23:29:48
SELECT libraries,2023-06-04 23:29:48
SELECT libraries,2023-06-04 23:29:51
DELETE collect,2023-06-04 23:29:53
DELETE borrows,2023-06-04 23:29:53
DELETE librarians,2023-06-04 23:29:53
DELETE sign_up,2023-06-04 23:29:53
SELECT libraries,2023-06-04 23:29:53
DELETE libraries,2023-06-04 23:29:53
SELECT libraries,2023-06-04 23:29:53
SELECT libraries,2023-06-04 23:29:56
DELETE collect,2023-06-04 23:29:58
DELETE borrows,2023-06-04 23:29:58
DELETE librarians,2023-06-04 23:29:58
DELETE sign_up,2023-06-04 23:29:58
SELECT libraries,2023-06-04 23:29:58
DELETE libraries,2023-06-04 23:29:58
SELECT libraries,2023-06-04 23:29:58
SELECT libraries,2023-06-04 23:30:00
DELETE collect,2023-06-04 23:30:02
DELETE borrows,2023-06-04 23:30:02
DELETE librarians,2023-06-04 23:30:02
DELETE sign_up,2023-06-04 23:30:02
SELECT libraries,2023-06-04 23:30:02
DELETE libraries,2023-06-04 23:30:02
SELECT libraries,2023-06-04 23:30:02
SELECT libraries,2023-06-04 23:30:05
INSERT libraries,2023-06-04 23:30:14
SELECT libraries,2023-06-04 23:30:14
SELECT libraries,2023-06-04 23:30:17
SELECT libraries,2023-06-04 23:30:17
SELECT libraries,2023-06-04 23:30:22
UPDATE libraries,2023-06-04 23:30:30
SELECT libraries,2023-06-04 23:30:30
SELECT libraries,2023-06-04 23:30:34
SELECT libraries,2023-06-04 23:30:34
SELECT libraries,2023-06-04 23:30:37
INSERT sign_up,2023-06-04 23:30:53
SELECT libraries,2023-06-04 23:31:49
SELECT libraries,2023-06-04 23:31:51
INSERT readers,2023-06-04 23:32:06
SELECT libraries,2023-06-04 23:36:53
SELECT libraries,2023-06-04 23:37:00
INSERT readers,2023-06-04 23:37:12
SELECT libraries,2023-06-04 23:38:36
SELECT libraries,2023-06-04 23:38:40
INSERT readers,2023-06-04 23:38:54
INSERT sign_up,2023-06-04 23:38:54
SELECT readers,2023-06-04 23:38:56
SELECT libraries,2023-06-04 23:41:10
SELECT libraries,2023-06-04 23:41:11
SELECT readers,2023-06-04 23:41:24
SELECT libraries,2023-06-04 23:41:52
SELECT libraries,2023-06-04 23:41:56
INSERT readers,2023-06-04 23:42:08
SELECT libraries,2023-06-04 23:42:53
SELECT libraries,2023-06-04 23:42:58
INSERT readers,2023-06-04 23:43:16
INSERT sign_up,2023-06-04 23:43:16
SELECT readers,2023-06-04 23:43:17
SELECT libraries,2023-06-04 23:44:26
SELECT libraries,2023-06-04 23:49:04
SELECT libraries,2023-06-04 23:49:07
SELECT libraries,2023-06-04 23:49:37
SELECT libraries,2023-06-04 23:49:51
INSERT readers,2023-06-04 23:50:04
SELECT libraries,2023-06-04 23:50:54
SELECT libraries,2023-06-04 23:50:57
SELECT readers,2023-06-04 23:51:02
UPDATE readers,2023-06-04 23:51:25
SELECT readers,2023-06-04 23:51:26
DELETE readers,2023-06-04 23:51:37
SELECT readers,2023-06-04 23:51:38
INSERT readers,2023-06-04 23:51:47
SELECT readers,2023-06-04 23:51:47
INSERT librarians,2023-06-04 23:52:01
SELECT librarians,2023-06-04 23:52:02
UPDATE librarians,2023-06-04 23:52:18
SELECT librarians,2023-06-04 23:52:20
DELETE librarians,2023-06-04 23:52:24
SELECT librarians,2023-06-04 23:52:25
INSERT librarians,2023-06-04 23:52:35
SELECT librarians,2023-06-04 23:52:37
SELECT readers,2023-06-04 23:52:46
SELECT books,2023-06-04 23:52:55
INSERT books,2023-06-04 23:53:04
INSERT collect,2023-06-04 23:53:04
SELECT books,2023-06-04 23:53:05
SELECT books,2023-06-04 23:53:11
UPDATE books,2023-06-04 23:53:27
SELECT books,2023-06-04 23:53:28
SELECT librarians,2023-06-04 23:54:31
INSERT borrows,2023-06-04 23:54:50
SELECT borrows,2023-06-04 23:54:51
UPDATE borrows,2023-06-04 23:55:11
DELETE borrows,2023-06-04 23:55:15
SELECT borrows,2023-06-04 23:55:17
SELECT libraries,2023-06-04 23:55:24
